Origin Controller,Ruta DMZ,HTTP Method,Ruta ServicioSAP,HTTP Method SAP,Programador,Conectado,Generado,Notas
ProspectoController,prospecto/rfc,POST,To Do,POST,Javier,No,No,RFC generación + ZTBC_Code_MSTR - Requiere desarrollo
ProspectoController,prospecto/recuperarcuenta,POST,partner/client/filter/{sapFilter},POST,Javier,No,No,BP05 - Filtro genérico existe
RecommenderController,recommender/setRecommenderList,POST,To Do,POST,Diego,No,No,SpCREDICodigoRecomendador Requiere analisis
RecommenderController,recommender/getRecommender,POST,To Do,POST,Javier,No,No,SpCREDICodigoRecomendador Requiere analisis
RecommenderController,recommender/setCodes,POST,To Do,POST,Deprecado,N/A,N/A,DEPRECADO
StatusController,status/getStatus,POST,To Do,GET,Diego,No,No,Health probe - No requiere SAP
WalletCustomerController,customer/wallet/details,POST,customer/wallet/details,POST,Marcos,Si,Si,SD18 - Migrado
WalletCustomerController,customer/wallet/getCuentaC/{ordenCompra},GET,To Do,GET,Javier,No,Si,SD36 - Consulta de venta por IdEcommerce
WalletCustomerController,customer/wallet/getMinimumCostToRedeem,POST,To Do,POST,Javier,No,No,SD18 + TablaRangoSt ( AI_GET_CatalogoConfiguracion ) – Requiere desarrollo
WholesaleCustomerController,company/wholesale-customer/{wholesaleAccount},GET,To Do,GET,Javier,No,Si,BP05MA
WholesaleCustomerController,company/negotiable-quote/create,POST,To Do,POST,Javier,No,No,"Insert Venta (SD01) Insert VentaD (SD01 Seccion de detalles) los inserts tiene valores fijos (revisar codigo metodo InsertTableVenta, InsertTableVentaD)"
CustomersController (LAN-only),customer/getCuenta,POST,N/A (MAGENTO),POST,Diego,No,No,LAN-only - No tiene ruta DMZ
CustomersController (LAN-only),customer/setCuenta,POST,N/A (MAGENTO),POST,Diego,No,No,LAN-only - No tiene ruta DMZ
CreditController (LAN-only),credit/SaveCredilanaInfo,POST,N/A (SQLlite),POST,Diego,No,No,LAN-only - SQLite
OrdersController (LAN-only),order/createStorepickupCode/{idE}/{idO},POST,To Do,POST,Javier,No,No,"Migrar GenerarIdRecogerEnSucursal() a SAP, SD36 (venta), BP05MA (cte), VentaEntrega (api par domicilios de entrega ) EcommerceDetPedidos (Pendiente de creacion)"
OrdersController (LAN-only),order/generateNewStorepickupCode/{idE},POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO por metodo crearPrimerCodigoRecogerSucbanktransfer
OrdersController (LAN-only),order/getOrderId/{idEcommerce},POST,N/A (MAGENTO),GET,Javier,No,No,LAN-only – Magento
OrdersController (LAN-only),order/getOrderInfoAndSet/{incrementId},POST,N/A (MAGENTO) Y SAP,N/A,Javier,No,No,LAN-only - Magento + SD36 + SD01
OrdersController (LAN-only),order/checkOpenpay,POST,N/A (SQLITE),POST,Javier,No,No,"LAN-only Ejecuta obtenerEstatusVenta (SD36), SPAFectar, SQLITE"
ProductsController (LAN-only),product/updateProduct,POST,N/A,POST,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/updateProductJsonOnly,POST,N/A,GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/updatePrice,POST,N/A,GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/updateConfigurableProduct,POST,product/jerarquia/articulos,GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/updateStockMavi,POST,product/stock,GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/updateStock,POST,product/stock,GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/getStockByStore,POST,product/stock/filter/{filter},GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/existenciasAlmacenArt,POST,product/stock/filter/{filter},GET,Javier,No,No,LAN-only - Job ImportApp
ProductsController (LAN-only),product/obtenerImagen,POST,ma/imagenes/optimizadas,GET,Javier,No,Si,LAN-only - product_images
MercanciaController,mercancias/getAbonos,POST,credit/GetAccountDebts,POST,Deprecado,N/A,N/A,DEPRECADO - EX01/TZ01
MercanciaController,mercancias/getProximosPagos,POST,credit/GetAccountDebts,POST,Deprecado,N/A,N/A,DEPRECADO - EX01
MercanciaController,mercancias/getSaldoVencido,POST,credit/GetAccountDebts,POST,Deprecado,N/A,N/A,DEPRECADO - EX01
MercanciaController,mercancias/getLimiteMercancia,POST,partner/client/{clientId},GET,Deprecado,N/A,N/A,DEPRECADO - BP05 ZlimCred
MercanciaController,mercancias/ValidarTelefono,POST,partneraddress/partner/phone,PATCH,Deprecado,N/A,N/A,DEPRECADO - Phone handling existe en SAP
,,,,,,,,
,,,,,,,,
,,Programador,Rutas,Conectado,Generado,44,51,
,,Javier,44,2.27%,15.91%,32.35%,37.50%,34.93%
,,Diego,60,35.00%,35.00%,,,
,,Marcos,17,41.18%,47.06%,,,
,,Deprecado,15,100.00%,100.00%,,,
,,,,,,,,
,,Total,,44.61%,49.49%,,,
